trip_id,start_time,scooter_type,battery_low,user_rating,trip_distance_m,trip_duration_s,trip_aborted
1027,2025-05-10 06:10:10,Model A,FALSE,2,1929,417.3792140446472,FALSE
1028,2025-05-10 06:40:36,Model A,FALSE,5,1906,393.3767183299713,FALSE
1029,2025-05-10 07:05:13,Model A,FALSE,NA,1070,323.2221646626075,FALSE
1030,2025-05-10 07:05:25,Model A,FALSE,4,3351,1110.5462612983936,FALSE
1031,2025-05-10 07:10:31,Model B,FALSE,4,739,154.75975607663383,FALSE
1032,2025-05-10 07:40:09,Model A,FALSE,3,1225,254.85821654890742,FALSE
1033,2025-05-10 07:55:47,Model B,FALSE,1,1109,283.4775258488642,FALSE
1034,2025-05-10 08:00:44,Model B,FALSE,4,690,194.26862847233036,FALSE
1035,2025-05-10 08:15:48,Model A,FALSE,NA,1037,286.4803729839562,FALSE
1036,2025-05-10 08:20:13,Model B,FALSE,2,2129,389.33727724560333,FALSE
1037,2025-05-10 08:35:26,Model B,FALSE,4,1971,517.2741626024595,FALSE
1038,2025-05-10 08:35:53,Model A,FALSE,4,589,262.732411139977,FALSE
1039,2025-05-10 08:45:16,Model B,FALSE,4,1379,473.8426641045413,FALSE
1040,2025-05-10 08:45:18,Model B,TRUE,1,1536,419.57562876454904,TRUE
1041,2025-05-10 08:45:43,Model A,FALSE,3,2419,589.786200822729,TRUE
1042,2025-05-10 08:50:51,Model A,FALSE,NA,NA,NA,TRUE
1043,2025-05-10 08:55:15,Model B,TRUE,2,4416,899.2985349546991,FALSE
1044,2025-05-10 08:55:59,Model A,FALSE,1,1215,248.21819898821897,FALSE
1045,2025-05-10 09:00:17,Model B,FALSE,5,540,92.42151741993413,FALSE
1046,2025-05-10 09:05:20,Model A,FALSE,4,1038,190.97568178559584,FALSE
1047,2025-05-10 09:05:30,Model A,FALSE,2,1162,248.67064759738045,FALSE
1048,2025-05-10 09:10:02,Model B,FALSE,4,4530,1480.336917030625,FALSE
1049,2025-05-10 09:10:07,Model A,TRUE,4,3857,956.234926407079,TRUE
1050,2025-05-10 09:15:08,Model A,FALSE,4,2484,442.91210083527636,FALSE
1051,2025-05-10 09:15:29,Model B,TRUE,4,1938,738.6966295979938,TRUE
1052,2025-05-10 09:20:02,Model B,FALSE,4,917,177.49515071556448,FALSE
1053,2025-05-10 09:20:25,Model B,FALSE,1,1082,327.084320084728,FALSE
1054,2025-05-10 09:30:01,Model B,FALSE,5,4871,1594.1520000517644,FALSE
1055,2025-05-10 09:30:01,Model A,FALSE,5,1497,344.8531959233271,TRUE
1056,2025-05-10 09:30:40,Model B,FALSE,5,662,220.88540134031965,FALSE
1057,2025-05-10 09:40:23,Model A,FALSE,3,1547,234.24317616163705,FALSE
1058,2025-05-10 09:40:50,Model A,FALSE,1,677,106.98891486709073,FALSE
1059,2025-05-10 09:45:26,Model B,FALSE,5,4231,1497.3145447598783,FALSE
1060,2025-05-10 09:45:44,Model A,FALSE,2,1069,246.65929432712332,TRUE
1061,2025-05-10 09:45:57,Model B,TRUE,1,939,401.4364496392418,FALSE
1062,2025-05-10 09:50:10,Model A,FALSE,1,1237,461.46033350934385,FALSE
1063,2025-05-10 09:50:24,Model A,FALSE,4,669,218.37888862182726,TRUE
1064,2025-05-10 09:50:51,Model B,FALSE,NA,1186,426.0132186898812,FALSE
1065,2025-05-10 09:50:56,Model A,FALSE,4,2843,973.2790380691939,TRUE
1066,2025-05-10 09:50:58,Model A,FALSE,5,728,298.5772199463211,FALSE
1067,2025-05-10 09:55:04,Model A,FALSE,2,1137,259.72070987570345,FALSE
1068,2025-05-10 09:55:09,Model A,TRUE,NA,1391,513.2422344693049,FALSE
1069,2025-05-10 09:55:12,Model A,FALSE,NA,1159,270.49297348775207,FALSE
1070,2025-05-10 10:00:14,Model A,FALSE,4,615,157.74244249555704,FALSE
1071,2025-05-10 10:00:20,Model A,FALSE,3,786,181.18766739028482,FALSE
1072,2025-05-10 10:00:36,Model B,FALSE,5,877,197.13638964870538,FALSE
1073,2025-05-10 10:00:39,Model B,FALSE,3,1921,576.3683875230753,FALSE
1074,2025-05-10 10:05:25,Model B,FALSE,3,1009,227.09320464646652,FALSE
1075,2025-05-10 10:10:24,Model B,FALSE,3,1368,516.5566403256786,FALSE
1076,2025-05-10 10:10:45,Model A,FALSE,5,894,337.536599990889,FALSE
1077,2025-05-10 10:15:20,Model A,FALSE,4,2186,526.5892197594341,FALSE
1078,2025-05-10 10:15:25,Model A,FALSE,4,669,179.49969825146718,FALSE
1079,2025-05-10 10:15:42,Model A,TRUE,4,NA,NA,FALSE
1080,2025-05-10 10:15:49,Model A,FALSE,4,1418,233.12584992740997,FALSE
1081,2025-05-10 10:20:48,Model B,FALSE,4,1013,379.7430995825898,FALSE
1082,2025-05-10 10:25:15,Model A,FALSE,4,1363,320.9276499990336,FALSE
1083,2025-05-10 10:25:27,Model A,TRUE,5,1553,529.5805003647165,FALSE
1084,2025-05-10 10:25:29,Model A,TRUE,5,1220,230.83806414739618,FALSE
1085,2025-05-10 10:25:31,Model A,FALSE,5,658,243.4458898026698,FALSE
1086,2025-05-10 10:25:58,Model A,TRUE,4,721,226.2228305230409,TRUE
1087,2025-05-10 10:30:02,Model A,FALSE,4,869,204.6007910255257,FALSE
1088,2025-05-10 10:35:10,Model A,FALSE,3,611,99.14480800299,FALSE
1089,2025-05-10 10:50:13,Model B,FALSE,3,1232,326.98919614112685,FALSE
1090,2025-05-10 10:50:43,Model A,FALSE,3,621,131.73559705612288,FALSE
1091,2025-05-10 10:50:52,Model A,FALSE,5,734,131.22449793814798,FALSE
1092,2025-05-10 10:55:49,Model A,FALSE,4,607,120.80968625006666,FALSE
1093,2025-05-10 11:00:02,Model A,FALSE,4,1486,293.97699286428116,FALSE
1094,2025-05-10 11:00:07,Model A,FALSE,4,880,118.92400419669485,FALSE
1095,2025-05-10 11:00:21,Model B,FALSE,4,1179,299.5561154422039,FALSE
1096,2025-05-10 11:00:50,Model A,TRUE,5,1177,314.23077496497865,FALSE
1097,2025-05-10 11:00:56,Model B,FALSE,5,1161,283.970214683024,FALSE
1098,2025-05-10 11:05:12,Model A,FALSE,1,761,159.81130026207643,FALSE
1099,2025-05-10 11:15:21,Model A,TRUE,5,5443,1572.3866817813805,FALSE
1100,2025-05-10 11:15:22,Model A,FALSE,3,706,127.90625847472583,FALSE
1101,2025-05-10 11:15:33,Model A,FALSE,4,946,206.77454387614824,FALSE
1102,2025-05-10 11:15:59,Model A,FALSE,NA,718,188.5711829812722,TRUE
1103,2025-05-10 11:20:01,Model A,TRUE,4,626,154.83990464042154,FALSE
1104,2025-05-10 11:20:06,Model A,FALSE,3,923,314.52040807862613,FALSE
1105,2025-05-10 11:20:14,Model B,TRUE,5,1226,254.51081438709247,FALSE
1106,2025-05-10 11:20:18,Model B,FALSE,4,335,107.59557927437554,FALSE
1107,2025-05-10 11:20:41,Model B,FALSE,4,967,200.2444796467086,FALSE
1108,2025-05-10 11:25:40,Model B,TRUE,4,2668,910.4978140562623,FALSE
1109,2025-05-10 11:25:59,Model A,TRUE,NA,4219,1213.7328759020882,FALSE
1110,2025-05-10 11:30:04,Model B,TRUE,3,588,177.7147188368305,FALSE
1111,2025-05-10 11:30:21,Model A,FALSE,5,1386,239.6485363490952,FALSE
1112,2025-05-10 11:30:55,Model A,TRUE,3,413,138.08514608795855,FALSE
1113,2025-05-10 11:40:16,Model A,FALSE,1,885,193.71069991989307,FALSE
1114,2025-05-10 11:40:31,Model B,FALSE,2,841,168.1518171837667,FALSE
1115,2025-05-10 11:45:07,Model B,FALSE,5,434,110.76305343564627,FALSE
1116,2025-05-10 11:45:13,Model B,FALSE,NA,1311,412.8496677690953,FALSE
1117,2025-05-10 11:45:26,Model A,FALSE,3,1539,320.3716359932127,FALSE
1118,2025-05-10 11:45:29,Model B,FALSE,5,2100,530.1473873574013,FALSE
1119,2025-05-10 11:45:30,Model A,FALSE,1,2830,572.2929326213094,FALSE
1120,2025-05-10 11:45:31,Model A,FALSE,3,3908,1330.4039787635613,TRUE
1121,2025-05-10 11:45:34,Model A,FALSE,2,1845,435.55719206012543,FALSE
1122,2025-05-10 11:45:44,Model B,FALSE,2,884,163.61101294489882,FALSE
1123,2025-05-10 11:45:54,Model B,TRUE,3,1422,312.7959816145206,TRUE
1124,2025-05-10 11:50:36,Model A,FALSE,2,755,257.56132734268436,FALSE
1125,2025-05-10 11:55:19,Model B,FALSE,1,1151,247.08299810967944,FALSE
1126,2025-05-10 11:55:30,Model A,FALSE,4,2371,725.6933968722391,FALSE
1127,2025-05-10 11:55:44,Model B,TRUE,NA,1410,372.13389189021296,FALSE
1128,2025-05-10 12:00:01,Model B,FALSE,3,961,196.9696427734721,FALSE
1129,2025-05-10 12:00:42,Model A,FALSE,5,362,135.26384041987933,FALSE
1130,2025-05-10 12:00:47,Model A,FALSE,3,5550,1288.6470550841273,FALSE
1131,2025-05-10 12:05:02,Model A,FALSE,1,3455,965.837155548162,FALSE
1132,2025-05-10 12:05:35,Model B,FALSE,4,720,229.79406934670885,FALSE
1133,2025-05-10 12:05:57,Model A,FALSE,4,1001,324.0224793022454,FALSE
1134,2025-05-10 12:10:11,Model B,FALSE,5,2026,797.5517913774372,FALSE
1135,2025-05-10 12:10:23,Model B,FALSE,2,2964,855.3117555237056,TRUE
1136,2025-05-10 12:10:36,Model B,FALSE,3,NA,NA,FALSE
1137,2025-05-10 12:10:46,Model B,FALSE,5,896,238.6385293053205,FALSE
1138,2025-05-10 12:10:55,Model A,TRUE,4,454,114.56607525423922,TRUE
1139,2025-05-10 12:10:57,Model A,FALSE,1,1351,211.9274128023094,FALSE
1140,2025-05-10 12:15:08,Model A,TRUE,4,2496,960.5608266715077,TRUE
1141,2025-05-10 12:25:03,Model A,TRUE,5,1189,318.92407785062426,FALSE
1142,2025-05-10 12:25:05,Model B,FALSE,3,1983,390.53095628327696,FALSE
1143,2025-05-10 12:25:16,Model B,TRUE,5,1284,285.6781676904895,TRUE
1144,2025-05-10 12:25:16,Model A,FALSE,5,1441,317.14755193932814,FALSE
1145,2025-05-10 12:25:36,Model B,FALSE,4,2120,440.472643541216,FALSE
1146,2025-05-10 12:35:30,Model A,FALSE,5,1695,318.78214602985764,FALSE
1147,2025-05-10 12:35:52,Model A,TRUE,2,435,133.2986042352111,FALSE
1148,2025-05-10 12:40:29,Model A,FALSE,3,2370,492.0022901935622,FALSE
1149,2025-05-10 12:40:37,Model B,FALSE,5,1242,276.5308786208536,FALSE
1150,2025-05-10 12:40:43,Model B,FALSE,5,4281,943.1535296365536,FALSE
1151,2025-05-10 12:50:40,Model B,FALSE,5,4929,1880.0563327464322,FALSE
1152,2025-05-10 12:50:55,Model B,FALSE,5,738,273.41700188803077,FALSE
1153,2025-05-10 12:55:00,Model B,FALSE,5,3433,762.6458811854022,FALSE
1154,2025-05-10 12:55:29,Model A,FALSE,4,1390,441.581146102119,TRUE
1155,2025-05-10 12:55:33,Model A,FALSE,3,989,155.95067320611022,FALSE
1156,2025-05-10 13:00:13,Model A,FALSE,5,1284,358.02054713283,FALSE
1157,2025-05-10 13:00:15,Model B,FALSE,5,1605,587.5627686535503,FALSE
1158,2025-05-10 13:00:41,Model A,FALSE,1,1137,287.0397511821913,FALSE
1159,2025-05-10 13:00:48,Model B,FALSE,2,732,215.852418172012,FALSE
1160,2025-05-10 13:05:15,Model A,FALSE,NA,1420,429.515348150383,FALSE
1161,2025-05-10 13:05:29,Model B,FALSE,1,669,188.8311976605449,FALSE
1162,2025-05-10 13:05:35,Model B,FALSE,NA,1143,245.37564783922858,FALSE
1163,2025-05-10 13:05:48,Model B,TRUE,4,2334,841.1360303407662,FALSE
1164,2025-05-10 13:10:30,Model A,FALSE,4,628,61.36001459532284,FALSE
1165,2025-05-10 13:15:23,Model A,TRUE,4,2970,1037.624335044858,FALSE
1166,2025-05-10 13:15:30,Model B,FALSE,3,1834,428.1919111414205,FALSE
1167,2025-05-10 13:15:58,Model A,FALSE,2,1278,421.8562104485178,TRUE
1168,2025-05-10 13:20:04,Model A,FALSE,NA,986,287.92527236531606,TRUE
1169,2025-05-10 13:20:15,Model A,FALSE,4,761,242.6904597677932,FALSE
1170,2025-05-10 13:20:22,Model B,TRUE,4,1153,231.61246700356872,FALSE
1171,2025-05-10 13:20:25,Model B,FALSE,3,2699,734.417589449286,FALSE
1172,2025-05-10 13:20:34,Model A,FALSE,4,969,217.89408922745588,FALSE
1173,2025-05-10 13:20:55,Model B,TRUE,5,984,235.959611067625,FALSE
1174,2025-05-10 13:25:05,Model B,FALSE,5,1421,511.4158809780389,FALSE
1175,2025-05-10 13:25:39,Model A,FALSE,5,1342,435.84957056306337,FALSE
1176,2025-05-10 13:30:16,Model A,TRUE,5,3118,836.7985985879001,FALSE
1177,2025-05-10 13:30:26,Model A,FALSE,5,3347,683.9097519423553,FALSE
1178,2025-05-10 13:30:53,Model A,FALSE,1,634,177.3385955362895,FALSE
1179,2025-05-10 13:35:15,Model A,FALSE,5,1697,604.6596406338426,FALSE
1180,2025-05-10 13:40:00,Model A,FALSE,3,5416,1457.8863220516891,FALSE
1181,2025-05-10 13:40:21,Model B,FALSE,5,1234,269.6874685271911,FALSE
1182,2025-05-10 13:40:48,Model B,FALSE,4,1381,343.67016828779464,FALSE
1183,2025-05-10 13:45:07,Model A,FALSE,1,2077,344.39265736836484,TRUE
1184,2025-05-10 13:45:13,Model B,TRUE,1,1922,549.3641590916449,FALSE
1185,2025-05-10 13:45:23,Model B,TRUE,5,675,127.66967197357084,FALSE
1186,2025-05-10 13:45:31,Model B,FALSE,5,2280,475.0604852062141,FALSE
1187,2025-05-10 13:45:42,Model B,FALSE,5,2759,757.0896066315566,FALSE
1188,2025-05-10 13:45:49,Model A,TRUE,4,1584,416.64570251331406,FALSE
1189,2025-05-10 13:45:52,Model B,FALSE,5,279,97.86116506839498,FALSE
1190,2025-05-10 13:50:51,Model B,FALSE,5,2636,852.7086560008186,FALSE
1191,2025-05-10 13:55:27,Model B,FALSE,1,1887,681.392130309142,FALSE
1192,2025-05-10 14:05:19,Model B,FALSE,1,2869,1027.3014503286192,FALSE
1193,2025-05-10 14:05:24,Model A,TRUE,NA,1141,291.9218207370453,FALSE
1194,2025-05-10 14:05:49,Model A,TRUE,1,763,132.69742791304583,TRUE
1195,2025-05-10 14:05:51,Model A,FALSE,4,485,148.99800575140162,FALSE
1196,2025-05-10 14:10:36,Model B,FALSE,4,2017,624.8176483324814,TRUE
1197,2025-05-10 14:15:27,Model A,FALSE,NA,4008,871.212824360391,FALSE
1198,2025-05-10 14:15:30,Model B,TRUE,3,1098,401.7369489448506,TRUE
1199,2025-05-10 14:15:52,Model B,FALSE,1,1285,417.43074333338177,FALSE
1200,2025-05-10 14:20:19,Model A,FALSE,3,1024,250.17243347004944,FALSE
1201,2025-05-10 14:25:37,Model B,TRUE,3,626,222.2832749019541,FALSE
1202,2025-05-10 14:25:49,Model B,FALSE,2,322,56.863567288488575,FALSE
1203,2025-05-10 14:30:12,Model B,FALSE,4,1917,673.4903909914327,FALSE
1204,2025-05-10 14:30:32,Model A,FALSE,5,2014,513.2724394809388,FALSE
1205,2025-05-10 14:35:01,Model B,FALSE,5,1025,205.71363022096767,FALSE
1206,2025-05-10 14:35:02,Model B,FALSE,4,845,147.81369687893385,FALSE
1207,2025-05-10 14:35:10,Model B,TRUE,NA,2098,389.7979464782882,FALSE
1208,2025-05-10 14:35:18,Model A,FALSE,4,789,221.93713448568812,FALSE
1209,2025-05-10 14:35:25,Model B,TRUE,5,1646,474.7348545769357,TRUE
1210,2025-05-10 14:35:44,Model A,FALSE,3,568,114.7924658309131,FALSE
1211,2025-05-10 14:40:41,Model B,FALSE,4,1971,430.05262513774755,FALSE
1212,2025-05-10 14:40:43,Model A,FALSE,4,1414,240.43362530498666,FALSE
1213,2025-05-10 14:45:00,Model B,FALSE,5,1198,333.27329918147825,FALSE
1214,2025-05-10 14:45:44,Model A,FALSE,4,1056,349.335547454749,FALSE
1215,2025-05-10 14:50:18,Model B,TRUE,4,2291,506.296365854009,FALSE
1216,2025-05-10 14:50:47,Model A,FALSE,3,2293,681.6366967502006,FALSE
1217,2025-05-10 14:55:47,Model B,TRUE,3,2453,631.3733535230839,FALSE
1218,2025-05-10 14:55:56,Model A,TRUE,1,4468,1717.6327776795365,FALSE
1219,2025-05-10 15:00:12,Model B,TRUE,3,839,200.557576782849,FALSE
1220,2025-05-10 15:00:31,Model B,FALSE,5,710,177.14622646203395,FALSE
1221,2025-05-10 15:00:47,Model A,FALSE,1,3753,1339.8176126397725,FALSE
1222,2025-05-10 15:10:00,Model A,TRUE,4,1329,469.8445217812611,FALSE
1223,2025-05-10 15:10:39,Model A,FALSE,4,2419,540.4928546670978,FALSE
1224,2025-05-10 15:10:53,Model B,TRUE,5,1364,316.8286018114087,FALSE
1225,2025-05-10 15:15:18,Model A,TRUE,4,569,176.4935970090743,TRUE
1226,2025-05-10 15:15:25,Model A,FALSE,NA,2182,473.5433196744226,FALSE
1227,2025-05-10 15:15:37,Model A,FALSE,NA,4108,972.435384144494,FALSE
1228,2025-05-10 15:15:45,Model B,FALSE,5,622,152.00616885724045,FALSE
1229,2025-05-10 15:20:14,Model B,TRUE,5,936,287.3828542077143,FALSE
1230,2025-05-10 15:20:29,Model A,FALSE,5,1003,257.98874822209353,TRUE
1231,2025-05-10 15:20:39,Model B,FALSE,5,1219,351.2634539155807,FALSE
1232,2025-05-10 15:20:47,Model A,FALSE,1,887,163.9849408125585,FALSE
1233,2025-05-10 15:25:21,Model B,TRUE,4,891,308.3216519217017,TRUE
1234,2025-05-10 15:35:31,Model B,FALSE,2,1350,340.48703207518986,FALSE
1235,2025-05-10 15:35:50,Model A,FALSE,3,1261,394.83994676984867,FALSE
1236,2025-05-10 15:35:52,Model A,FALSE,NA,NA,NA,FALSE
1237,2025-05-10 15:35:54,Model B,FALSE,4,758,186.53555473252825,FALSE
1238,2025-05-10 15:40:10,Model B,FALSE,5,995,372.9559516266501,TRUE
1239,2025-05-10 15:40:50,Model A,FALSE,2,1587,470.16668663600984,FALSE
1240,2025-05-10 15:45:19,Model A,TRUE,4,1607,283.38189899086285,FALSE
1241,2025-05-10 15:45:30,Model A,FALSE,1,958,207.6207104939052,FALSE
1242,2025-05-10 15:45:33,Model A,FALSE,3,769,142.02966363202887,FALSE
1243,2025-05-10 15:45:59,Model B,FALSE,5,946,164.37239902718173,FALSE
1244,2025-05-10 15:50:02,Model A,FALSE,4,1134,308.24491905632266,FALSE
1245,2025-05-10 15:55:11,Model B,FALSE,1,1043,207.86586866951973,FALSE
1246,2025-05-10 15:55:20,Model A,FALSE,5,1103,236.6079762646468,FALSE
1247,2025-05-10 15:55:29,Model B,FALSE,5,1102,200.07938661814217,TRUE
1248,2025-05-10 15:55:31,Model B,TRUE,4,338,72.34166842969505,FALSE
1249,2025-05-10 16:00:17,Model A,FALSE,3,2687,803.0195696429813,FALSE
1250,2025-05-10 16:00:51,Model A,FALSE,2,591,92.35392386640322,FALSE
1251,2025-05-10 16:05:06,Model A,FALSE,4,617,145.46632988356677,FALSE
1252,2025-05-10 16:05:17,Model A,TRUE,3,1035,233.0630637765024,TRUE
1253,2025-05-10 16:05:25,Model A,FALSE,1,1748,488.11541132028873,FALSE
1254,2025-05-10 16:10:37,Model B,FALSE,3,1007,307.90659002679416,FALSE
1255,2025-05-10 16:15:03,Model A,TRUE,4,1711,510.6150614527983,FALSE
1256,2025-05-10 16:15:34,Model A,FALSE,1,957,222.78223629665246,FALSE
1257,2025-05-10 16:20:16,Model A,FALSE,2,1080,188.36138117167596,FALSE
1258,2025-05-10 16:20:22,Model B,FALSE,3,747,238.12315422003203,FALSE
1259,2025-05-10 16:25:30,Model A,FALSE,3,3814,1257.1008698077394,FALSE
1260,2025-05-10 16:25:38,Model B,FALSE,3,439,135.63363513156992,FALSE
1261,2025-05-10 16:30:02,Model B,TRUE,3,1008,181.3347471553936,FALSE
1262,2025-05-10 16:35:04,Model A,FALSE,4,417,82.68361430135425,FALSE
1263,2025-05-10 16:35:21,Model B,FALSE,4,1312,468.68228939680273,FALSE
1264,2025-05-10 16:40:19,Model B,FALSE,3,12000,4740.294702249786,FALSE
1265,2025-05-10 16:40:57,Model A,FALSE,4,1340,263.99859194573395,TRUE
1266,2025-05-10 16:45:12,Model A,FALSE,4,564,145.71844737668528,FALSE
1267,2025-05-10 16:45:15,Model A,FALSE,3,1021,272.0362503446712,FALSE
1268,2025-05-10 16:45:32,Model B,FALSE,5,735,215.36720032433772,FALSE
1269,2025-05-10 16:45:57,Model A,FALSE,3,1366,399.86428051231735,FALSE
1270,2025-05-10 16:50:21,Model B,TRUE,4,3141,751.3143174159483,FALSE
1271,2025-05-10 16:50:21,Model A,TRUE,5,2455,678.2037398519726,FALSE
1272,2025-05-10 16:55:01,Model A,FALSE,5,825,322.71581414963697,FALSE
1273,2025-05-10 16:55:29,Model B,FALSE,2,2315,584.9909257899009,FALSE
1274,2025-05-10 16:55:32,Model B,FALSE,1,1916,357.90567968612606,FALSE
1275,2025-05-10 16:55:37,Model B,TRUE,3,1629,339.64306226591555,FALSE
1276,2025-05-10 16:55:52,Model B,FALSE,4,738,223.415489724779,FALSE
1277,2025-05-10 17:00:39,Model A,FALSE,NA,1888,620.583688452927,FALSE
1278,2025-05-10 17:00:46,Model B,FALSE,NA,1752,701.5284346720545,FALSE
1279,2025-05-10 17:05:17,Model B,TRUE,4,2502,853.1340436121551,FALSE
1280,2025-05-10 17:05:25,Model B,TRUE,5,769,229.51820502626956,FALSE
1281,2025-05-10 17:10:11,Model A,FALSE,4,1136,243.9297189121016,FALSE
1282,2025-05-10 17:10:14,Model B,FALSE,1,774,152.66917027231432,FALSE
1283,2025-05-10 17:10:55,Model A,FALSE,5,467,133.4767862672347,FALSE
1284,2025-05-10 17:10:55,Model A,FALSE,4,1011,222.1922586146722,FALSE
1285,2025-05-10 17:15:37,Model B,FALSE,1,1563,504.05826182841065,FALSE
1286,2025-05-10 17:25:37,Model B,FALSE,4,1494,313.48054771453644,FALSE
1287,2025-05-10 17:25:47,Model A,FALSE,4,516,145.64623659884091,FALSE
1288,2025-05-10 17:25:53,Model A,FALSE,1,2441,925.2558343395386,FALSE
1289,2025-05-10 17:25:55,Model B,TRUE,2,1992,446.02273165573683,FALSE
1290,2025-05-10 17:30:06,Model B,FALSE,4,806,201.08636012293027,FALSE
1291,2025-05-10 17:35:05,Model A,TRUE,5,1645,350.0922093488373,FALSE
1292,2025-05-10 17:35:57,Model A,FALSE,1,456,72.32407732697777,FALSE
1293,2025-05-10 17:35:57,Model A,FALSE,4,726,231.14352962337446,TRUE
1294,2025-05-10 17:40:04,Model B,FALSE,4,1908,539.3943880975224,FALSE
1295,2025-05-10 17:40:18,Model A,FALSE,1,948,272.5940943701206,FALSE
1296,2025-05-10 17:40:39,Model B,FALSE,1,779,140.5719532948586,FALSE
1297,2025-05-10 17:40:45,Model B,FALSE,4,1326,391.83557000998866,FALSE
1298,2025-05-10 17:40:54,Model B,FALSE,3,699,221.13507526550268,FALSE
1299,2025-05-10 17:45:06,Model A,FALSE,3,471,100.61467647021166,FALSE
1300,2025-05-10 17:45:19,Model B,FALSE,4,1311,335.65708159020215,FALSE
1301,2025-05-10 17:50:31,Model A,FALSE,5,2168,463.83799045749527,FALSE
1302,2025-05-10 17:55:10,Model A,FALSE,4,1076,232.12432293594753,TRUE
1303,2025-05-10 17:55:53,Model B,TRUE,NA,1824,498.41139536620847,FALSE
1304,2025-05-10 18:00:54,Model B,FALSE,4,984,172.5917278882712,FALSE
1305,2025-05-10 18:05:21,Model B,FALSE,4,1026,304.18295627064623,FALSE
1306,2025-05-10 18:05:38,Model B,FALSE,5,544,116.36502056105245,FALSE
1307,2025-05-10 18:05:56,Model B,FALSE,4,428,91.64927894475521,FALSE
1308,2025-05-10 18:10:08,Model A,FALSE,3,929,335.1403902356348,FALSE
1309,2025-05-10 18:15:11,Model B,FALSE,4,578,170.59013282458173,FALSE
1310,2025-05-10 18:15:48,Model B,FALSE,4,1252,296.1701455994573,FALSE
1311,2025-05-10 18:25:02,Model A,FALSE,4,993,304.52473754230715,FALSE
1312,2025-05-10 18:30:14,Model A,FALSE,5,2328,474.44483321264227,FALSE
1313,2025-05-10 18:35:39,Model A,FALSE,3,912,184.59165866615623,FALSE
1314,2025-05-10 18:35:57,Model B,FALSE,4,968,264.46502906264305,FALSE
1315,2025-05-10 18:45:19,Model B,FALSE,4,870,333.51861639596336,FALSE
1316,2025-05-10 18:45:30,Model A,FALSE,3,1035,187.31451159198045,FALSE
1317,2025-05-10 18:45:54,Model B,FALSE,4,1015,249.77714828434566,FALSE
1318,2025-05-10 18:50:11,Model A,FALSE,NA,1732,458.2608723819305,FALSE
1319,2025-05-10 18:50:52,Model A,FALSE,NA,1484,350.2669288273953,FALSE
1320,2025-05-10 18:55:09,Model B,FALSE,2,1385,306.1304290012371,FALSE
1321,2025-05-10 18:55:17,Model A,FALSE,3,1057,330.4639413105716,FALSE
1322,2025-05-10 19:00:31,Model B,TRUE,2,3365,856.5965070196116,FALSE
1323,2025-05-10 19:05:04,Model A,FALSE,5,501,173.56046957027812,FALSE
1324,2025-05-10 19:10:59,Model B,FALSE,5,594,159.505513013617,FALSE
1325,2025-05-10 19:15:53,Model B,FALSE,5,1096,248.50922039618936,FALSE
1326,2025-05-10 19:20:35,Model A,FALSE,4,1886,516.810968302223,FALSE
